Name,Last name,First name(s),Links,Former name,Known as name,Default publishing name,Created date,Last modified date,Pure ID,ISNI,Digital author ID,Scopus Author ID,ORCID,Organisational unit name
"Alegre Ibarra, Unai",Alegre Ibarra,Unai,,,,,2019-07-01 21:00:26.398,2024-01-24 23:55:06.265,124089736,,,,,
"Jafek, Alexander Robert",Jafek,Alexander Robert,,,,,2019-07-01 21:00:26.188,2022-12-15 00:56:00.713,124089664,,,,,
"Xie, Lingyun",Xie,Lingyun,,,,,2019-06-20 21:00:23.779,2023-10-07 23:51:17.225,121603823,,,,,
"Kruit - van Rossum, Stella-Maria Annette",Kruit - van Rossum,Stella-Maria Annette,,,"Kruit, Stella A.",,2019-06-17 21:00:24.668,2024-02-18 00:18:54.723,120933406,0000000502813600,,,0000-0002-1545-705X,Embedded Information Services
"van Heumen, Luuk ",van Heumen,Luuk,,,,,2019-06-07 21:00:20.892,2022-12-15 00:55:57.395,118688061,,,,,
"Yeshalem, Mulualem Tesfaye",Yeshalem,Mulualem Tesfaye,,,,,2019-06-03 21:00:29.829,2023-03-31 21:30:09.326,117760227,,,,,
"Muneeswaran, Venkatkumar",Muneeswaran,Venkatkumar,,,,,2019-06-03 21:00:29.818,2023-07-15 00:01:29.461,117760217,,,,,Digital Society Institute | Power Electronics
"Li, Qiao ",Li,Qiao,,,,,2019-06-03 21:00:29.228,2022-12-15 00:55:53.591,117760005,,,,,
"Bassit, Amina",Bassit,Amina,https://www.linkedin.com/in/amina-bassit-1197681b1/,,,,2019-06-03 21:00:29.121,2024-02-13 23:50:36.803,117759951,0000000512593058,,,0000-0002-1331-9702,Datamanagement & Biometrics | Digital Society Institute
"Arican, Tuğçe",Arican,Tuğçe,https://www.linkedin.com/in/tuğçe-arıcan-23babb81/,,,,2019-06-03 21:00:29.094,2024-01-30 23:53:27.283,117759932,0000000513693157,,,0009-0004-7716-6794,Datamanagement & Biometrics | Digital Society Institute
"Komen, Job",Komen,Job,https://www.linkedin.com/in/job-komen-35a49680/ | https://www.researchgate.net/profile/Job-Komen-2,,,,2019-06-03 21:00:10.899,2024-01-13 23:51:50.177,117759510,0000000503895679,,,0000-0002-4378-0735,
"Mayorga Gonzalez, Rafael",Mayorga Gonzalez,Rafael,,,,,2019-05-14 21:00:21.341,2023-11-21 02:01:20.89,113217155,,,,,
"Atanasov, Anton Nikolaev",Atanasov,Anton Nikolaev,,,,,2019-05-01 21:00:29.106,2024-03-04 23:56:30.726,108997575,,,,,Integrated Circuit Design
"Eldiwiny, Marwa Mohammed Alaaeldean Mohammed Ibrha",Eldiwiny,Marwa Mohammed Alaaeldean Mohammed Ibrha,,,,,2019-05-01 21:00:28.769,2022-12-15 00:55:47.19,108997442,,,,,
"Braem, Carlijn Irene Raymond",Braem,Carlijn Irene Raymond,,,"Braem, Carlijn I.R.",,2019-05-01 21:00:18.957,2024-03-05 03:01:52.435,108997126,0000000502775341,,57214335034,0000-0003-2900-9861,Biomedical Signals and Systems | TechMed Centre
"Singh, Sanjay Kumar",Singh,Sanjay Kumar,,,,,2019-04-15 21:00:30.357,2022-12-15 00:55:43.932,105167532,,,,,
"van der Schans, Emma Marieke",van der Schans,Emma Marieke,,,"van der Schans, Emma M.",,2019-04-04 21:00:23.115,2024-03-10 23:53:44.029,102519156,0000000503847642,,,0000-0002-1899-458X,
"Marotta, Luca",Marotta,Luca,https://www.linkedin.com/in/luca-marotta-384435140/ | https://www.researchgate.net/profile/Luca-Marotta-2,,,,2019-04-01 21:00:30.655,2024-03-18 00:08:35.055,101808625,0000000503683748,,,0000-0002-2269-298X,
"Loschi, Hermes José",Loschi,Hermes José,,,,,2019-04-01 21:00:30.236,2024-03-17 23:56:29.521,101808479,0000000503683844,,56768102100,0000-0001-8057-0991,
"de Jong, Rombout  Johannes",de Jong,Rombout Johannes,,,,,2019-04-01 21:00:29.886,2023-12-18 23:53:24.672,101808331,,,,,Digital Society Institute | Radio Systems
"Nemashkalo, Daria",Nemashkalo,Daria,,,,,2019-04-01 21:00:29.57,2023-11-03 23:51:16.706,101808220,,,,0000-0002-0068-4110,Digital Society Institute | Power Electronics
"Lima de Oliveira, Marcio Luiz",Lima de Oliveira,Marcio Luiz,,,,"Lima de Oliveira, M.L.",2019-04-01 21:00:29.502,2024-03-17 00:06:46.198,101808194,,,57218822342,0000-0003-4088-2637,
"Wibisono, Muhammad Ammar",Wibisono,Muhammad Ammar,,,,,2019-04-01 21:00:29.427,2024-01-28 00:01:45.391,101808171,,,,,
"Sudrajat, Muhammad Imam",Sudrajat,Muhammad Imam,,,,,2019-04-01 21:00:29.39,2023-09-06 03:15:43.559,101808152,,,,,
"Hoen, Thomas Jan",Hoen,Thomas Jan,,,,,2019-04-01 21:00:21.443,2024-01-01 21:31:43.624,101808098,,,,,Digital Society Institute | Integrated Circuit Design | MESA+ Institute
"Wafik Saad Elsayed, Waseem",Wafik Saad Elsayed,Waseem,,"SAyed, Waseem EL",,"El Sayed, Waseem",2019-03-15 21:00:24.765,2024-03-03 23:54:25.146,97774071,0000000503696901,,,0000-0003-3477-2351,Digital Society Institute | Power Electronics
"Onvlee, Anne Jolijn",Onvlee,Anne Jolijn,,,,,2019-03-05 21:00:14.84,2022-12-15 00:55:32.808,95455074,,,,,
